relative_time,LinearAccelerometerSensor,AccX,AccY
104435,,14.410950660705566,-0.8260500431060791
104440,1.3285624961582048,,
104442,,14.397000312805176,-1.2019500732421875
104445,,14.23905086517334,
104446,,,-1.5400500297546387
104450,,13.918050765991211,
104451,,,-1.7170500755310059
104455,,13.348051071166992,
104456,,,-1.954050064086914
104461,,12.80505084991455,
104462,,,-2.16195011138916
104465,1.140917753510021,,
104469,,12.256050109863281,
104470,,11.7610502243042,-2.25600004196167
104471,,,-2.40405011177063
104476,,11.200050354003906,-2.55495023727417
104477,,,
104481,0.7603750261027382,10.647000312805176,-2.814000129699707
104485,,10.039050102233887,
104486,,,-2.943000078201294
104490,,9.463950157165527,
104491,,,-3.052950143814087
104495,,8.964000701904297,
104496,,,-3.2179501056671143
104500,0.5082291287829189,,
104501,,8.397000312805176,-3.220950126647949
104505,,7.9110002517700195,
104506,,,-3.214050054550171
104510,,7.425000190734863,
104511,,,-3.2350502014160156
104516,,7.113000392913818,-3.3160500526428223
104520,,6.748950481414795,
104521,0.6081303821886185,,-3.3480000495910645
104526,,6.555000305175781,
104527,,,-3.2730002403259277
104530,,6.558000087738037,
104531,,,-3.2179501056671143
104535,,6.346950531005859,
104536,,,-3.120000123977661
104541,0.8787632465585055,,
104542,,6.3349504470825195,-3.0240001678466797
104547,,6.594000339508057,-2.7709500789642334
104550,,7.063050270080566,
104551,,,-2.5410001277923584
104555,,7.513050556182861,
104556,,,-2.473950147628784
104561,1.087802520416869,,
104562,,7.894050598144531,-2.1070501804351807
104566,,8.317950248718262,-1.7200500965118408
104571,,8.682000160217285,-1.4869500398635864
104576,,9.072000503540039,-1.336050033569336
104577,,,
104581,1.1248076062463488,9.457050323486328,
104582,,,-1.221000075340271
104586,,9.93600082397461,
104587,,,-1.2169500589370728
104592,,10.269000053405762,
104593,,,-0.8670000433921814
104597,,10.528050422668457,-0.49605002999305725
104602,,10.786050796508789,-0.2689500153064728
104604,0.9039370519192127,,
104607,,10.882050514221191,-0.18000000715255737
104613,,10.840950965881348,-0.13695000112056732
104615,,10.719000816345215,
104616,,,-0.13199999928474426
104621,0.566017727949976,10.525050163269043,-0.15405000746250153
104626,,10.209000587463379,
104628,,,-0.27105000615119934
104632,,9.723000526428223,
104633,,,-0.21405000984668732
104636,,9.32805061340332,-0.2689500153064728
104641,0.3481500633196134,8.883000373840332,-0.13395000994205475
104646,,8.434950828552246,0.0580500029027462
104651,,8.076000213623047,
104653,,,0.18495000898838043
104656,,7.824000358581543,
104657,,,0.1660500019788742
104662,,7.774050235748291,
104663,0.39828884867277076,,-0.016950000077486038
104666,,7.788000583648682,
104667,,,-0.34800001978874207
104671,,7.903050422668457,
104672,,,-0.7669500112533569
104676,,8.136000633239746,-1.2720000743865967
104681,,8.346000671386719,
104682,0.4235230855560853,,-1.8850500583648682
104686,,8.822999954223633,
104687,,,-2.1670501232147217
104691,,9.475950241088867,
